state,session_year,fy,scheduled_adjourn,actual_adjourn,overrun_days,precision,signed_date,days_late,scheduled_edition,actual_edition,source
Georgia,2026,2027,2026-04-06,2026-04-02,-4,exact,2026-03-03,-120,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2015,2016,2015-05-05,2015-05-07,2,approx,2015-06-12,-19,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2016,2017,2016-05-05,2016-05-05,0,approx,2016-06-23,-8,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2017,2018,2017-05-05,2017-05-04,-1,approx,2017-06-21,-10,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2018,2019,2018-05-05,2018-05-03,-2,approx,2018-06-22,-9,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2019,2020,2019-05-02,2019-05-02,0,exact,2019-06-21,-10,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2020,2021,2020-05-07,2020-07-10,64,exact,2020-07-06,5,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2021,2022,2021-05-09,2021-04-29,-10,exact,2021-06-24,-7,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2022,2023,2022-05-05,2022-05-05,0,exact,2022-07-07,6,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2023,2024,2023-05-04,2023-05-04,0,exact,2023-06-30,-1,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2024,2025,2024-05-02,2024-05-03,1,exact,2024-07-09,8,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2025,2026,2025-05-02,2025-05-02,0,exact,2025-06-30,-1,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Hawaii,2026,2027,2026-05-08,2026-05-08,0,exact,2026-06-26,-5,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
